sku,name,category,unit_price_usd,region
SKU-0002,Apparel Item 2,Apparel,311.43,EU
SKU-0006,Apparel Item 6,Apparel,457.27,EU
SKU-0010,Grocery Item 10,Grocery,58.67,EU
SKU-0014,Books Item 14,Books,138.54,EU
SKU-0018,Sports Item 18,Sports,151.99,EU
SKU-0022,Grocery Item 22,Grocery,249.53,EU
SKU-0026,Sports Item 26,Sports,208.14,EU
SKU-0030,Sports Item 30,Sports,401.31,EU
SKU-0034,Electronics Item 34,Electronics,151.57,EU
SKU-0038,Electronics Item 38,Electronics,307.97,EU
SKU-0042,Books Item 42,Books,167.99,EU
SKU-0046,Books Item 46,Books,128.97,EU
SKU-0050,Apparel Item 50,Apparel,5.32,EU
SKU-0054,Grocery Item 54,Grocery,7.63,EU
SKU-0058,Grocery Item 58,Grocery,399.20,EU
SKU-0062,Grocery Item 62,Grocery,49.00,EU
SKU-0066,Electronics Item 66,Electronics,453.95,EU
SKU-0070,Grocery Item 70,Grocery,454.79,EU
SKU-0074,Books Item 74,Books,183.62,EU
SKU-0078,Books Item 78,Books,437.21,EU
SKU-0082,Electronics Item 82,Electronics,258.56,EU
SKU-0086,Electronics Item 86,Electronics,346.24,EU
SKU-0090,Books Item 90,Books,268.66,EU
SKU-0094,Grocery Item 94,Grocery,280.12,EU
SKU-0098,Books Item 98,Books,475.37,EU
SKU-0102,Home Item 102,Home,416.61,EU
SKU-0106,Sports Item 106,Sports,208.43,EU
SKU-0110,Books Item 110,Books,24.62,EU
SKU-0114,Grocery Item 114,Grocery,313.18,EU
SKU-0118,Sports Item 118,Sports,226.63,EU
SKU-0122,Home Item 122,Home,402.34,EU
SKU-0126,Sports Item 126,Sports,217.94,EU
SKU-0130,Grocery Item 130,Grocery,357.51,EU
SKU-0134,Books Item 134,Books,455.66,EU
SKU-0138,Books Item 138,Books,108.57,EU
SKU-0142,Books Item 142,Books,11.60,EU
SKU-0146,Apparel Item 146,Apparel,495.94,EU
SKU-0150,Apparel Item 150,Apparel,147.18,EU
