order_id,customer_id,sku,quantity,revenue_usd,order_date
O0002651,C00072,SKU-0079,5,43.05,2024-02-21
O0001998,C00077,SKU-0028,7,3063.98,2024-02-11
O0003046,C01062,SKU-0078,5,2016.65,2024-02-19
O0001779,C01123,SKU-0071,6,1623.74,2024-02-08
O0002748,C00843,SKU-0060,2,935.05,2024-02-12
O0002006,C00260,SKU-0018,2,305.11,2024-02-19
O0002993,C00505,SKU-0051,5,1101.95,2024-02-26
O0002602,C00735,SKU-0089,4,857.14,2024-02-24
O0001691,C00115,SKU-0102,7,2983.56,2024-02-26
O0002844,C00393,SKU-0146,3,1545.33,2024-02-17
O0002493,C00667,SKU-0093,8,2155.34,2024-02-02
O0001654,C01147,SKU-0046,8,972.70,2024-02-19
O0003081,C00378,SKU-0100,4,283.54,2024-02-16
O0003110,C00109,SKU-0119,7,1103.00,2024-02-01
O0001908,C00352,SKU-0142,1,11.16,2024-02-14
O0001677,C00972,SKU-0077,8,3675.70,2024-02-26
O0002318,C01170,SKU-0100,3,206.07,2024-02-17
O0002888,C00710,SKU-0145,6,858.61,2024-02-27
O0001629,C00727,SKU-0117,8,2404.60,2024-02-17
O0001771,C00601,SKU-0143,4,1229.35,2024-02-25
O0001840,C00993,SKU-0139,1,163.37,2024-02-10
O0002913,C00676,SKU-0004,4,1421.52,2024-02-20
O0002029,C00268,SKU-0146,4,1811.66,2024-02-22
O0002902,C01195,SKU-0082,7,1653.56,2024-02-13
O0003073,C00599,SKU-0137,1,414.86,2024-02-08
O0002093,C00929,SKU-0057,7,2289.08,2024-02-06
O0002283,C00463,SKU-0138,3,308.40,2024-02-04
O0002183,C01008,SKU-0147,1,45.04,2024-02-18
O0002323,C00116,SKU-0067,7,1130.86,2024-02-09
O0002762,C00398,SKU-0046,3,352.46,2024-02-17
O0002819,C01033,SKU-0075,6,1175.80,2024-02-12
O0003043,C00968,SKU-0091,8,2063.60,2024-02-23
O0002310,C00408,SKU-0108,8,1353.07,2024-02-11
O0002451,C00071,SKU-0058,5,1824.52,2024-02-02
O0001867,C00195,SKU-0046,4,484.32,2024-02-05
O0002024,C00125,SKU-0028,2,893.93,2024-02-26
O0001660,C01236,SKU-0150,6,879.66,2024-02-10
O0002221,C00116,SKU-0001,8,411.69,2024-02-13
O0001990,C00130,SKU-0086,8,2803.34,2024-02-09
O0001976,C00623,SKU-0069,5,1648.05,2024-02-14
O0003187,C01046,SKU-0051,4,945.70,2024-02-22
O0002322,C01083,SKU-0141,3,1395.17,2024-02-02
O0002662,C00275,SKU-0090,5,1281.71,2024-02-01
O0003091,C01099,SKU-0005,6,2309.91,2024-02-20
O0003131,C00569,SKU-0104,1,190.38,2024-02-28
O0001790,C01090,SKU-0062,4,190.81,2024-02-05
O0002331,C01217,SKU-0068,8,1493.67,2024-02-25
O0001783,C00744,SKU-0026,4,844.39,2024-02-26
O0002414,C00523,SKU-0095,4,1285.13,2024-02-26
O0001948,C00743,SKU-0034,7,966.59,2024-02-27
O0001689,C01112,SKU-0086,1,326.18,2024-02-13
O0002346,C00518,SKU-0148,5,1116.63,2024-02-25
O0001606,C00641,SKU-0052,8,226.89,2024-02-05
O0002122,C00056,SKU-0130,2,747.53,2024-02-08
O0003017,C00039,SKU-0081,2,237.67,2024-02-01
O0003066,C00748,SKU-0080,7,2802.92,2024-02-09
O0003024,C00801,SKU-0035,5,1869.96,2024-02-22
O0001839,C00835,SKU-0066,4,1850.52,2024-02-11
O0002010,C00231,SKU-0097,1,292.86,2024-02-07
O0002959,C00589,SKU-0081,8,998.06,2024-02-13
O0002381,C00862,SKU-0045,2,11.70,2024-02-02
O0001844,C01081,SKU-0073,7,2788.83,2024-02-27
O0001692,C00222,SKU-0041,3,240.45,2024-02-09
O0002360,C01007,SKU-0051,3,653.10,2024-02-17
O0002598,C00738,SKU-0134,5,2260.32,2024-02-09
