order_id,customer_id,sku,quantity,revenue_usd,order_date
O0005375,C00713,SKU-0054,5,39.41,2024-04-09
O0006030,C00414,SKU-0020,4,591.61,2024-04-30
O0005795,C00043,SKU-0106,5,943.60,2024-04-21
O0005090,C01054,SKU-0036,7,379.80,2024-04-06
O0005246,C00909,SKU-0034,1,140.42,2024-04-26
O0005019,C00756,SKU-0042,4,694.65,2024-04-15
O0005753,C00123,SKU-0063,5,948.67,2024-04-09
O0006268,C00208,SKU-0055,4,396.89,2024-04-08
O0005057,C00253,SKU-0006,5,2066.41,2024-04-21
O0006399,C01043,SKU-0007,4,1509.29,2024-04-26
O0004854,C01090,SKU-0005,7,2703.83,2024-04-20
O0005401,C00879,SKU-0065,2,544.64,2024-04-04
O0006040,C00018,SKU-0144,2,882.13,2024-04-20
O0006281,C01033,SKU-0033,7,466.00,2024-04-20
O0006057,C01136,SKU-0027,8,2596.80,2024-04-06
O0006221,C00488,SKU-0024,3,1380.64,2024-04-29
O0004855,C00918,SKU-0136,5,416.55,2024-04-17
O0005702,C01026,SKU-0076,2,294.36,2024-04-29
O0004917,C01037,SKU-0026,3,613.07,2024-04-25
O0004836,C01154,SKU-0090,8,2153.00,2024-04-24
O0006297,C00196,SKU-0059,4,1757.16,2024-04-12
O0005927,C00583,SKU-0058,1,416.31,2024-04-13
O0005103,C00062,SKU-0023,2,397.78,2024-04-17
O0004922,C00273,SKU-0022,6,1486.49,2024-04-24
O0005547,C00635,SKU-0008,7,1161.43,2024-04-14
O0005625,C00538,SKU-0031,2,571.40,2024-04-23
O0005741,C00104,SKU-0132,8,3122.54,2024-04-05
O0006115,C00196,SKU-0046,3,403.72,2024-04-20
O0006356,C00152,SKU-0025,1,216.22,2024-04-25
O0006243,C00769,SKU-0041,7,608.27,2024-04-27
O0005707,C00376,SKU-0019,3,281.23,2024-04-08
O0005890,C00651,SKU-0114,7,2264.44,2024-04-11
O0005969,C00366,SKU-0010,8,466.58,2024-04-08
O0005601,C00873,SKU-0018,5,748.02,2024-04-19
O0005916,C00576,SKU-0104,5,1013.80,2024-04-12
O0005423,C00569,SKU-0056,6,2886.62,2024-04-21
O0006143,C01134,SKU-0005,3,1258.27,2024-04-05
O0004822,C01084,SKU-0110,5,114.23,2024-04-30
O0006095,C00606,SKU-0023,2,372.43,2024-04-02
O0004870,C00249,SKU-0031,5,1360.90,2024-04-29
O0005508,C01148,SKU-0132,7,2605.40,2024-04-22
O0006181,C00289,SKU-0124,3,315.92,2024-04-23
O0005591,C00596,SKU-0131,1,411.44,2024-04-05
O0004960,C00758,SKU-0077,2,977.48,2024-04-13
O0005110,C00289,SKU-0107,4,824.01,2024-04-23
O0004840,C00430,SKU-0078,6,2667.13,2024-04-03
O0005506,C01170,SKU-0018,1,147.79,2024-04-03
O0006061,C00931,SKU-0108,8,1337.04,2024-04-20
O0005758,C01127,SKU-0005,8,3270.74,2024-04-25
O0005471,C00145,SKU-0080,5,2065.61,2024-04-22
O0005657,C00938,SKU-0020,7,1025.76,2024-04-29
O0004996,C01157,SKU-0001,8,445.43,2024-04-02
O0006180,C00257,SKU-0087,3,1168.38,2024-04-19
O0006352,C00209,SKU-0092,3,118.51,2024-04-11
O0006339,C00382,SKU-0143,5,1364.80,2024-04-28
