order_id,customer_id,sku,quantity,revenue_usd,order_date
O0007350,C00866,SKU-0147,1,41.78,2024-05-02
O0007738,C00449,SKU-0030,6,2195.25,2024-05-11
O0007660,C00693,SKU-0122,7,2625.84,2024-05-30
O0007601,C00155,SKU-0059,2,837.11,2024-05-07
O0007922,C00839,SKU-0007,4,1659.71,2024-05-31
O0007104,C00709,SKU-0003,4,1769.93,2024-05-10
O0006569,C00068,SKU-0126,3,616.26,2024-05-11
O0007443,C00214,SKU-0035,5,1796.47,2024-05-11
O0006583,C00337,SKU-0108,3,488.48,2024-05-21
O0006517,C00679,SKU-0055,4,383.58,2024-05-27
O0007233,C00319,SKU-0073,4,1669.38,2024-05-12
O0006763,C00898,SKU-0132,1,361.76,2024-05-23
O0007684,C00474,SKU-0018,8,1274.37,2024-05-14
O0006925,C00161,SKU-0127,6,1150.51,2024-05-16
O0007652,C01145,SKU-0015,6,1889.27,2024-05-21
O0007996,C01104,SKU-0071,5,1361.74,2024-05-16
O0007390,C00563,SKU-0083,5,2203.84,2024-05-26
O0007216,C00239,SKU-0063,7,1320.43,2024-05-27
O0007877,C00763,SKU-0087,7,2554.39,2024-05-20
O0006696,C00440,SKU-0087,6,2157.64,2024-05-27
O0006513,C00684,SKU-0117,8,2569.08,2024-05-07
O0007047,C00579,SKU-0150,1,139.25,2024-05-28
O0007588,C00118,SKU-0138,2,226.83,2024-05-04
O0006986,C00995,SKU-0075,5,981.45,2024-05-21
O0007965,C00013,SKU-0136,2,167.82,2024-05-30
O0006542,C00945,SKU-0146,8,3954.94,2024-05-01
O0007926,C00663,SKU-0132,7,2686.16,2024-05-27
O0007788,C01103,SKU-0103,4,1115.04,2024-05-24
O0006556,C01223,SKU-0020,5,835.66,2024-05-08
O0006691,C00512,SKU-0020,2,291.53,2024-05-10
O0007362,C00277,SKU-0046,8,1026.78,2024-05-23
O0006693,C00128,SKU-0124,4,441.06,2024-05-28
O0006410,C01120,SKU-0103,5,1346.38,2024-05-13
O0006756,C00616,SKU-0129,5,1702.21,2024-05-24
O0006516,C00253,SKU-0118,2,461.84,2024-05-31
O0007567,C01082,SKU-0025,1,205.25,2024-05-25
O0007609,C01079,SKU-0047,8,1463.20,2024-05-03
O0006694,C00889,SKU-0021,4,1386.64,2024-05-12
O0007860,C00511,SKU-0080,4,1642.58,2024-05-07
O0007927,C00388,SKU-0136,1,92.08,2024-05-29
O0006962,C00159,SKU-0141,6,2701.84,2024-05-18
O0006717,C00291,SKU-0028,7,3164.54,2024-05-19
O0006778,C00820,SKU-0081,8,943.63,2024-05-11
O0007701,C00696,SKU-0077,6,3097.75,2024-05-31
O0007004,C00619,SKU-0025,7,1453.46,2024-05-02
O0007066,C00555,SKU-0048,1,327.47,2024-05-09
O0006984,C00166,SKU-0054,5,34.58,2024-05-28
O0006453,C00890,SKU-0018,7,1086.78,2024-05-31
O0007494,C00615,SKU-0090,7,1869.61,2024-05-28
O0007896,C01233,SKU-0042,1,159.58,2024-05-06
O0006537,C00965,SKU-0016,6,1758.89,2024-05-04
O0006931,C00903,SKU-0016,3,785.47,2024-05-13
O0007243,C00409,SKU-0011,6,2769.45,2024-05-04
O0006519,C00394,SKU-0025,3,646.48,2024-05-30
O0006742,C00241,SKU-0029,4,1748.36,2024-05-29
O0007698,C00165,SKU-0150,1,141.06,2024-05-19
O0007098,C00219,SKU-0120,3,1315.76,2024-05-24
O0007240,C00005,SKU-0098,7,3407.21,2024-05-31
O0006557,C01064,SKU-0139,3,443.00,2024-05-26
O0007649,C01179,SKU-0106,5,1007.12,2024-05-13
O0006514,C00766,SKU-0069,2,648.99,2024-05-15
O0006806,C00540,SKU-0070,3,1279.33,2024-05-14
O0006994,C00218,SKU-0076,1,142.52,2024-05-30
O0006604,C00027,SKU-0079,1,8.44,2024-05-22
O0007604,C00401,SKU-0141,7,3233.22,2024-05-18
O0007498,C00596,SKU-0005,3,1197.44,2024-05-28
O0006436,C00918,SKU-0024,6,2632.86,2024-05-02
O0007554,C00743,SKU-0131,4,1493.41,2024-05-14
O0006700,C00479,SKU-0012,4,538.95,2024-05-12
O0007392,C00874,SKU-0132,3,1109.89,2024-05-14
O0007776,C00692,SKU-0136,4,355.20,2024-05-03
O0007215,C01086,SKU-0025,1,208.02,2024-05-09
O0006688,C00070,SKU-0090,6,1575.33,2024-05-18
O0006714,C00640,SKU-0013,4,1567.48,2024-05-05
O0007128,C00977,SKU-0029,5,2115.99,2024-05-06
O0006573,C00864,SKU-0055,4,367.86,2024-05-05
O0006419,C00118,SKU-0036,4,217.18,2024-05-01
O0007785,C01100,SKU-0039,2,1011.64,2024-05-19
O0007412,C00513,SKU-0112,4,243.83,2024-05-25
