order_id,settled_amount_usd,settled_at
O0006592,1293.76,2024-05-06
O0007721,2551.11,2024-05-31
O0007677,1185.39,2024-05-02
O0005511,195.69,2024-04-15
O0007429,3565.26,2024-05-18
O0005775,3610.29,2024-04-08
O0001223,1699.00,2024-01-04
O0000285,595.81,2024-01-10
O0005298,1256.10,2024-04-30
O0000874,992.95,2024-01-05
O0001050,1587.70,2024-01-29
O0000472,97.27,2024-01-18
O0001140,45.56,2024-01-25
O0006763,361.76,2024-05-23
O0003090,365.56,2024-02-15
O0007818,406.81,2024-05-25
O0002878,2333.07,2024-02-07
O0001756,1145.42,2024-02-12
O0007889,165.13,2024-05-12
O0007559,1272.70,2024-05-05
O0007523,376.04,2024-05-03
O0005078,2716.20,2024-04-11
O0005130,1572.80,2024-04-22
O0007305,20.99,2024-05-28
O0002729,1181.15,2024-02-15
O0002376,329.23,2024-02-24
O0006605,1920.64,2024-05-13
O0005284,612.34,2024-04-29
O0007122,373.37,2024-05-23
O0000233,92.11,2024-01-09
O0001458,983.99,2024-01-02
O0004915,3562.18,2024-04-03
O0002431,2019.05,2024-02-24
O0007309,1185.17,2024-05-29
O0004715,1559.96,2024-03-17
O0005077,236.16,2024-04-16
O0002829,263.42,2024-02-29
O0001994,1435.23,2024-02-29
O0004504,1297.75,2024-03-27
O0001742,1686.44,2024-02-21
O0002622,1655.76,2024-02-06
O0001679,2068.90,2024-02-17
O0002093,2289.08,2024-02-06
O0004011,1482.63,2024-03-26
O0003613,1962.76,2024-03-12
O0006934,650.38,2024-05-23
O0004181,349.63,2024-03-20
O0005076,39.91,2024-04-27
O0002028,543.12,2024-02-19
O0004239,266.80,2024-03-06
O0005669,129.22,2024-04-06
O0001335,657.87,2024-01-04
O0004275,2239.00,2024-03-29
O0002278,1147.23,2024-02-12
O0001807,722.54,2024-02-19
O0007284,1380.06,2024-05-25
O0007582,1568.62,2024-05-29
O0005548,3487.23,2024-04-09
O0001720,440.10,2024-02-07
O0000476,2937.19,2024-01-05
O0006925,1150.51,2024-05-16
O0002752,1018.37,2024-02-09
O0007927,92.08,2024-05-29
O0000820,2639.90,2024-01-19
O0006727,1089.54,2024-05-20
O0004757,194.33,2024-03-08
O0001637,169.72,2024-02-06
O0000433,218.17,2024-01-08
O0002539,756.14,2024-02-15
O0002757,1312.96,2024-02-28
O0003566,3477.53,2024-03-15
O0000242,3282.05,2024-01-31
O0000825,685.76,2024-01-04
O0005086,426.86,2024-04-19
O0000853,160.85,2024-01-10
O0004451,2401.66,2024-03-18
O0003016,259.13,2024-02-08
O0002895,1340.00,2024-02-17
O0005940,15.51,2024-04-02
O0003091,2309.91,2024-02-20
O0002954,3290.21,2024-02-11
O0001222,1212.69,2024-01-19
O0002924,734.37,2024-02-13
O0004443,2430.32,2024-03-01
O0000518,114.20,2024-01-17
O0000371,1466.51,2024-01-02
O0005207,2453.67,2024-04-23
O0006991,1663.35,2024-05-09
O0003431,84.00,2024-03-07
O0007477,176.28,2024-05-15
O0005360,2296.86,2024-04-14
O0005977,1225.83,2024-04-03
O0001845,258.49,2024-02-22
O0002405,165.98,2024-02-03
O0002572,2367.44,2024-02-06
O0004853,2104.12,2024-04-08
O0000221,356.51,2024-01-29
O0003405,3115.15,2024-03-04
O0007735,1437.31,2024-05-10
O0005170,440.57,2024-04-22
