sku,name,category,unit_price_usd,region
SKU-0003,Electronics Item 3,Electronics,428.80,APAC
SKU-0007,Books Item 7,Books,409.89,APAC
SKU-0011,Books Item 11,Books,477.77,APAC
SKU-0015,Apparel Item 15,Apparel,306.07,APAC
SKU-0019,Sports Item 19,Sports,103.71,APAC
SKU-0023,Grocery Item 23,Grocery,200.75,APAC
SKU-0027,Home Item 27,Home,309.67,APAC
SKU-0031,Books Item 31,Books,275.79,APAC
SKU-0035,Home Item 35,Home,391.45,APAC
SKU-0039,Books Item 39,Books,497.70,APAC
SKU-0043,Grocery Item 43,Grocery,89.67,APAC
SKU-0047,Sports Item 47,Sports,199.46,APAC
SKU-0051,Electronics Item 51,Electronics,235.65,APAC
SKU-0055,Books Item 55,Books,98.59,APAC
SKU-0059,Home Item 59,Home,464.66,APAC
SKU-0063,Grocery Item 63,Grocery,187.69,APAC
SKU-0067,Home Item 67,Home,171.13,APAC
SKU-0071,Grocery Item 71,Grocery,259.84,APAC
SKU-0075,Sports Item 75,Sports,216.76,APAC
SKU-0079,Apparel Item 79,Apparel,9.37,APAC
SKU-0083,Home Item 83,Home,452.89,APAC
SKU-0087,Home Item 87,Home,377.26,APAC
SKU-0091,Grocery Item 91,Grocery,282.50,APAC
SKU-0095,Grocery Item 95,Grocery,322.60,APAC
SKU-0099,Sports Item 99,Sports,406.29,APAC
SKU-0103,Books Item 103,Books,289.21,APAC
SKU-0107,Home Item 107,Home,205.38,APAC
SKU-0111,Home Item 111,Home,128.96,APAC
SKU-0115,Electronics Item 115,Electronics,233.91,APAC
SKU-0119,Apparel Item 119,Apparel,166.69,APAC
SKU-0123,Grocery Item 123,Grocery,173.64,APAC
SKU-0127,Grocery Item 127,Grocery,201.56,APAC
SKU-0131,Home Item 131,Home,401.33,APAC
SKU-0135,Apparel Item 135,Apparel,11.95,APAC
SKU-0139,Electronics Item 139,Electronics,157.84,APAC
SKU-0143,Home Item 143,Home,303.16,APAC
SKU-0147,Grocery Item 147,Grocery,44.73,APAC
